id,test,category,question,option_a,option_b,option_c,option_d,answer,explanation
424,38,History,What were the Tolpuddle Martyrs?,Miners killed in a colliery disaster in Wales,Protestants burned at the stake under Mary I,Farm workers transported to Australia in 1834 for forming a trade union,Soldiers executed for mutiny during the Crimean War,C,"The Tolpuddle Martyrs were six agricultural labourers from the Dorset village of Tolpuddle who formed a friendly society to resist cuts in their wages and were convicted in 1834 under a law against administering unlawful oaths, then sentenced to transportation to Australia. The severity of the punishment provoked a large public campaign, with petitions and demonstrations, and the men were eventually pardoned and returned home. The case became a founding story of the British trade union movement and is still commemorated annually in the village, and it illustrates how uncertain the right to organise remained in the early nineteenth century."
425,13,History,Which Victorian reformer campaigned to limit the hours worked by children in factories and mines?,Sir Robert Peel,Benjamin Disraeli,Joseph Chamberlain,Lord Shaftesbury,D,"Lord Shaftesbury devoted much of his career to campaigning against the employment of young children in factories, mines and as chimney sweeps, and for limits on working hours and for improvements in housing and the treatment of the mentally ill. His efforts contributed to a succession of Factory Acts and to the Mines Act, which barred women and young children from working underground. Reform was resisted by many employers who argued it would damage competitiveness, and progress came gradually through repeated legislation. Shaftesbury Avenue in London is named after him, and the statue popularly called Eros at Piccadilly Circus was erected as his memorial."
426,44,History,What was the workhouse in Victorian Britain?,A school for the children of the wealthy,"An institution where the destitute received relief in return for labour, in harsh conditions",A government office collecting taxes,A factory that employed only skilled craftsmen,B,"Under the Poor Law reform of 1834, relief for the able-bodied poor was concentrated in workhouses, where conditions were made deliberately harsh and unappealing so that only those in genuine desperation would apply. Families were separated on entry, work was monotonous and the regime severe, and the shame attached to the workhouse was profound and long remembered. Charles Dickens attacked the system in Oliver Twist. The workhouses persisted well into the twentieth century, and many later became hospitals. Their memory influenced twentieth-century arguments for a welfare state based on rights rather than on stigma and deterrence. Entry was often described as going on the parish, and it was feared above almost anything else."
427,8,History,Which Victorian development allowed ordinary people to travel to the seaside for holidays?,The invention of the motor car,The building of motorways,The spread of the railways,The introduction of commercial aircraft,C,"The railway network, which expanded enormously from the 1830s onwards, made travel fast and cheap enough for working people to take day trips and, in time, holidays. Seaside resorts such as Blackpool, Brighton, Scarborough and Southend grew rapidly to serve them, with piers, promenades, amusements and boarding houses, and whole industrial towns would sometimes close for a traditional wakes week. Thomas Cook pioneered organised excursions from the 1840s. The railways also standardised time across the country, delivered fresh food to cities, carried newspapers nationally, and reshaped where people could live and work. Bank holidays, introduced by legislation in 1871, gave workers fixed days away from their jobs."
428,35,History,What was the significance of the Reform Acts of 1867 and 1884?,They removed the need for elections,They abolished the House of Commons,They gave women the vote for the first time,"They extended the vote to many more men, including urban and rural workers",D,"The Reform Act of 1867 roughly doubled the electorate by extending the vote to many working men in the towns, and the Act of 1884 extended comparable rights to men in county constituencies, so that a majority of adult men could vote by the mid-1880s. A separate Act redistributed seats to reflect population more fairly, and the secret ballot had been introduced in 1872, reducing intimidation and bribery. Property qualifications nonetheless excluded many poorer men, and no woman could vote in parliamentary elections until 1918. The widening franchise changed the character of political parties, which now had to appeal to a mass electorate."
429,39,History,When was the secret ballot introduced for parliamentary elections in Britain?,1832,1872,1918,1969,B,"The Ballot Act of 1872 introduced voting by secret ballot in parliamentary and local elections. Before it, votes were cast openly and recorded publicly, which allowed landlords, employers and party agents to pressure, bribe or intimidate voters, and elections were often rowdy and corrupt affairs. Secrecy, combined with later legislation against corrupt practices, made elections markedly cleaner. The principle that a person's vote is their own private business remains fundamental to British elections today, and polling stations are arranged to protect it. The voting age was lowered from twenty-one to eighteen much later, in 1969. Voters now mark a paper in a private booth and post it into a sealed box."
430,30,History,Which Victorian institution was founded to protect places of historic interest and natural beauty?,The Royal Society,The British Museum,English Heritage,The National Trust,D,"The National Trust was founded in 1895 by Octavia Hill, Sir Robert Hunter and Canon Hardwicke Rawnsley to preserve places of historic interest and natural beauty for the nation, at a time when industrial growth and building were threatening the countryside and historic buildings. It is a charity, independent of government, and is now one of the largest landowners in the country, caring for country houses, gardens, coastline, farmland and whole villages, open to visitors. The Royal Society, founded in 1660, is the national academy of science, and the British Museum was established in the eighteenth century to house collections of antiquities."
431,14,History,"Who was Isambard Kingdom Brunel's contemporary responsible for building roads, canals and the Menai bridge?",Richard Trevithick,Joseph Bazalgette,Joseph Paxton,Thomas Telford,D,"Thomas Telford was a Scottish engineer who built an extraordinary quantity of infrastructure across Britain, including roads, harbours, aqueducts, canals and bridges. His works include the Caledonian Canal through the Great Glen, the Pontcysyllte Aqueduct carrying a canal high above the Dee valley in Wales, and the Menai Suspension Bridge linking Anglesey to the mainland, which was a pioneering achievement when it opened in 1826. The new town of Telford in Shropshire is named after him. Joseph Bazalgette built London's sewers, and Joseph Paxton designed the Crystal Palace for the Great Exhibition. He was the first president of the Institution of Civil Engineers and is buried in Westminster Abbey."
432,21,History,Which Victorian writer created the fictional county of Wessex in his novels?,George Eliot,Thomas Hardy,Anthony Trollope,Charles Dickens,B,"Thomas Hardy set his novels in a fictionalised version of the west of England that he called Wessex, based closely on Dorset and its neighbouring counties, using the old Anglo-Saxon name. Works such as Far from the Madding Crowd, Tess of the d'Urbervilles and The Mayor of Casterbridge examine rural life under the pressures of social change, with a strong sense of landscape and of fate. He turned to poetry in later life after hostile reactions to his last novels. George Eliot set Middlemarch in the Midlands, and Anthony Trollope wrote of the fictional cathedral city of Barchester and of political life."
433,22,History,Which Scottish-born inventor is credited with developing the telephone?,Alexander Fleming,James Watt,John Logie Baird,Alexander Graham Bell,D,"Alexander Graham Bell, born in Edinburgh and later working in Canada and the United States, is credited with inventing the telephone in the 1870s and with founding the company that bore his name. His work on the transmission of speech by electricity grew partly from a family interest in teaching the deaf. John Logie Baird, another Scot, gave the first public demonstrations of television in the 1920s. James Watt transformed the steam engine in the eighteenth century, and Alexander Fleming discovered penicillin in 1928, so Scotland contributed a striking number of the inventors and scientists celebrated in British history. Bell also worked on early aviation and on devices to help those with impaired hearing."
434,37,History,What was the purpose of the Great Stink and Bazalgette's response in London?,A famine led to the creation of food markets,An outbreak of crime led to the founding of the police,The smell of the polluted Thames prompted the building of a modern sewer network,A fire destroyed the docks and led to new fire brigades,C,"In the hot summer of 1858 the stench of untreated sewage in the Thames became so overpowering that Parliament, sitting beside the river, could barely function, an episode known as the Great Stink. It broke the political deadlock over funding, and Joseph Bazalgette was commissioned to build an extensive system of intercepting sewers that carried waste well downstream of the city, together with the embankments that still line the river. The work dramatically reduced cholera and other waterborne disease in London and remains in use today, and it stands as one of the great public health achievements of the Victorian age."
435,5,History,What is meant by the term 'the Raj'?,A tax levied on Indian farmers,The period of direct British crown rule in India,The Indian parliament established after 1947,The Indian independence movement,B,"The Raj refers to the period of direct rule of India by the British crown, beginning after the rebellion of 1857 when the East India Company's governing role was abolished, and lasting until independence in 1947. India was administered by a Viceroy and the Indian Civil Service, with a Secretary of State answerable to Parliament in London. The period brought railways, telegraphs, irrigation works and a unified legal and administrative structure, alongside economic exploitation, devastating famines and a growing nationalist movement that eventually secured independence. Partition in 1947 created India and Pakistan and was accompanied by mass migration and terrible violence."
436,42,History,Which Victorian campaigner is associated with prison reform?,Mary Seacole,Elizabeth Fry,Emmeline Pankhurst,Florence Nightingale,B,"Elizabeth Fry, a Quaker, visited Newgate Prison in London in the early nineteenth century and was appalled by the conditions in which women and their children were held. She organised schooling, work and basic provision for female prisoners, campaigned for separate facilities for women supervised by female warders, and gave evidence to parliamentary committees, helping to bring about reform of the prison system. Her work contributed to a wider Victorian movement for humane treatment of prisoners and the reduction of capital punishment. She appeared on the Bank of England five pound note for a period in recognition of her achievements."
437,45,History,What was Britain's position in world manufacturing in the mid-nineteenth century?,It produced almost no manufactured goods,It relied entirely on imports from Germany,It produced a very large share of the world's manufactured goods,It was the smallest industrial economy in Europe,C,"By the middle of the nineteenth century Britain was the dominant industrial power, producing a very large proportion of the world's manufactured goods, including textiles, iron, machinery and ships, and it was often described as the workshop of the world. Its position rested on early industrialisation, abundant coal, a large merchant fleet, access to raw materials and markets through the empire, and the financial strength of the City of London. From the 1870s Germany and the United States industrialised rapidly and began to overtake Britain in several sectors, a relative decline that became a persistent theme in British economic debate."
438,34,History,"Which liner, built in Belfast, sank on its maiden voyage in 1912?",The Lusitania,The Queen Mary,The Mauretania,The Titanic,D,"The Titanic was built at the Harland and Wolff shipyard in Belfast and sank in the North Atlantic in April 1912 after striking an iceberg on her maiden voyage to New York, with the loss of around fifteen hundred lives. There were too few lifeboats for those aboard, and the disaster led to major changes in maritime safety regulation, including requirements for sufficient lifeboat capacity and continuous radio watch. The story has been retold endlessly in books and films. The Lusitania was sunk by a German submarine in 1915, an event that helped turn American opinion against Germany during the First World War."
439,31,History,Who were the suffragettes?,Campaigners who used militant tactics to demand votes for women,Supporters of Irish Home Rule,Women who opposed the extension of the vote,Members of a Victorian temperance movement,A,"The suffragettes were members of the Women's Social and Political Union, founded by Emmeline Pankhurst in 1903, who turned to militant methods after decades of peaceful campaigning by the suffragists had failed to secure votes for women. Their tactics included demonstrations, window-breaking, arson and hunger strikes in prison, which the authorities met with force-feeding. Emily Davison died after stepping in front of the king's horse at the Derby in 1913. Campaigning was suspended during the First World War, and in 1918 some women over thirty received the vote, with equal voting rights on the same terms as men following in 1928."
440,45,History,Who founded the Women's Social and Political Union?,Beatrice Webb,Millicent Fawcett,Emmeline Pankhurst,Elizabeth Fry,C,"Emmeline Pankhurst founded the Women's Social and Political Union in Manchester in 1903, and with her daughters Christabel and Sylvia led the militant wing of the campaign for women's suffrage under the slogan 'deeds, not words'. Millicent Fawcett led the larger constitutional movement, the National Union of Women's Suffrage Societies, which pursued the same goal through peaceful persuasion and lobbying, and a statue of her now stands in Parliament Square. Historians debate how far militancy advanced or hindered the cause, but the combination of long campaigning and women's contribution during the First World War brought the first votes in 1918."
441,27,History,In which year did some women first gain the right to vote in parliamentary elections in the UK?,1918,1928,1900,1945,A,"The Representation of the People Act of 1918 gave the parliamentary vote to women aged thirty and over who met a property qualification, and at the same time extended the vote to almost all men over twenty-one. The measure followed decades of campaigning by suffragists and suffragettes and the widespread recognition of women's work during the First World War. A separate Act later that year allowed women to stand for Parliament, and Nancy Astor became the first woman to take her seat in 1919. Equal voting rights at twenty-one, on the same terms as men, were granted in 1928. Constance Markievicz was elected in 1918 but, as a Sinn Fein member, did not take her seat."
442,6,History,In which year did women receive the vote on the same terms as men?,1945,1969,1928,1918,C,"The Equal Franchise Act of 1928 gave women the right to vote at twenty-one on exactly the same terms as men, removing the age and property restrictions that had applied under the partial enfranchisement of 1918. It completed the long campaign for women's suffrage that had begun in the nineteenth century, though full equality in political representation took far longer to approach in practice. The voting age for everyone was lowered from twenty-one to eighteen in 1969. The first woman to take a seat in the House of Commons was Nancy Astor in 1919, and Britain's first woman Prime Minister took office in 1979."
443,23,History,What was the aim of Irish Home Rule in the late nineteenth century?,To abolish the Irish parliament in Dublin,To unite Ireland with Scotland,To give Ireland its own parliament within the United Kingdom,To make Ireland part of the United States,C,"Home Rule was the demand that Ireland should have its own parliament in Dublin to handle Irish domestic affairs while remaining within the United Kingdom. William Gladstone adopted the cause and introduced bills that were defeated, splitting the Liberal Party in the process, and further attempts followed. Unionists, particularly in the north-east of Ireland, opposed it strongly, fearing domination by a Catholic majority, and both sides armed themselves before the First World War. The war postponed the issue, and events afterwards, including the Easter Rising of 1916 and the war of independence, went far beyond Home Rule to full separation for most of Ireland."
444,12,History,What was the Easter Rising of 1916?,A mutiny in the Royal Navy,A strike by Welsh coal miners,An armed rebellion in Dublin against British rule,A protest march by suffragettes in London,C,"The Easter Rising was an armed rebellion staged in Dublin in April 1916 by Irish republicans who proclaimed an Irish Republic and seized key buildings in the city while Britain was engaged in the First World War. It was suppressed within a week, and the rebellion had limited public support at the time, but the execution of its leaders afterwards transformed opinion in Ireland and greatly strengthened support for independence. Sinn Féin won a large majority of Irish seats at the general election of 1918, and a war of independence followed, leading to the treaty that created the Irish Free State in 1922."
445,7,History,What happened to Ireland in 1922?,Ireland was fully absorbed into Great Britain,The whole island became independent as a republic,"Most of Ireland left the UK to become the Irish Free State, while Northern Ireland remained",Ireland was divided into four separate territories,C,"Following the Irish war of independence, a treaty signed at the end of 1921 took effect in 1922 and established the Irish Free State as a self-governing dominion covering twenty-six counties, while six counties in the north-east, with a unionist majority, remained part of the United Kingdom as Northern Ireland with its own devolved parliament. The treaty was bitterly contested and led to a civil war in the Free State. The Free State later became a fully independent republic. The division of the island remains the central fact of Northern Irish politics and lay behind the conflict known as the Troubles."
446,25,History,Which Welsh industry expanded enormously during the nineteenth century?,Tin mining in Cornwall,Cotton spinning,Coal mining,Shipbuilding on the Clyde,C,"Coal mining expanded dramatically in south Wales during the nineteenth century, particularly in the valleys north of Cardiff, drawing in workers from rural Wales and from England and Ireland and transforming a largely agricultural society. Welsh steam coal was prized for powering ships and was exported around the world through Cardiff, Barry and Newport, which grew rapidly as ports. Slate quarrying in north Wales and iron and steel production were also significant. The industry declined steeply in the twentieth century, and the closure of the pits, especially in the 1980s, left deep economic and social consequences in those communities. Male voice choirs and chapels grew up alongside the pits and remain part of Welsh culture."
447,18,History,What was significant about Britain's cities by the middle of the nineteenth century?,Most people still worked on the land,Cities had shrunk because of emigration,"For the first time, most people lived in towns and cities rather than the countryside",Urban populations were smaller than in the Middle Ages,C,"The census of the mid-nineteenth century showed that Britain had become the first country in the world in which a majority of the population lived in urban rather than rural areas, a consequence of industrialisation and of changes in agriculture that reduced the need for farm labour. The shift brought opportunity and higher wages for some but also overcrowding, pollution, disease and poor housing, which prompted public health legislation and municipal reform. It also changed politics, since the new industrial towns demanded representation that the old electoral system denied them, contributing directly to the pressure for parliamentary reform. Birmingham, Manchester, Liverpool, Leeds and Glasgow each grew into cities of many hundreds of thousands."
448,7,History,Which Victorian development improved communication across the empire?,The electric telegraph and undersea cables,Commercial air travel,Satellite television,Radio broadcasting to homes,A,"The electric telegraph, developed from the 1830s and spread along railway lines, allowed messages to travel almost instantly over long distances, and from the 1850s submarine cables began to connect Britain with continental Europe, then North America and eventually India, Australia and the wider empire. News, commercial information and government instructions that had once taken weeks or months by ship could be exchanged in hours. This transformed the conduct of business, journalism, diplomacy and imperial administration. Radio broadcasting began in the 1920s, commercial aviation developed between the wars, and satellite communication belongs to the second half of the twentieth century."
449,12,History,Which movement of the Victorian period campaigned against alcohol?,The temperance movement,The Chartist movement,The Anti-Corn Law League,The Fabian Society,A,"The temperance movement campaigned against the consumption of alcohol, which reformers blamed for poverty, violence, ill health and the neglect of families in industrial towns. It was closely associated with nonconformist churches, especially Methodism, and with self-improvement, thrift and respectability among working people, and it encouraged people to sign pledges of abstinence. It supported the growth of alternatives such as coffee taverns and organised excursions. The Anti-Corn Law League campaigned for free trade in grain, the Chartists for political reform, and the Fabian Society, founded in 1884, promoted gradual socialism and helped shape the early Labour Party. Some towns still have buildings put up as temperance halls or coffee houses in those years."
450,1,History,In which years was the First World War fought?,1939 to 1945,1853 to 1856,1899 to 1902,1914 to 1918,D,"The First World War began in the summer of 1914 and ended with an armistice on 11 November 1918. It was triggered by the assassination of Archduke Franz Ferdinand of Austria at Sarajevo, which set in motion a chain of alliances that drew the great powers into conflict. Britain, France, Russia and later the United States and others fought against Germany, Austria-Hungary and the Ottoman empire. Much of the fighting on the Western Front took place from entrenched positions across northern France and Belgium, producing enormous casualties for very little movement. More than a million people from Britain and its empire died, and the war reshaped European politics and society permanently."
451,22,History,What event triggered the outbreak of the First World War?,The German invasion of Poland,The assassination of Archduke Franz Ferdinand in Sarajevo,The Russian revolution,The sinking of the Titanic,B,"The immediate cause of the First World War was the assassination of Archduke Franz Ferdinand, heir to the Austro-Hungarian throne, by a Serbian nationalist in Sarajevo in June 1914. Austria-Hungary's response to Serbia activated a web of alliances that pulled Russia, Germany, France and eventually Britain into the conflict within weeks. Britain entered the war after German forces invaded neutral Belgium, whose neutrality Britain had guaranteed by treaty. Deeper causes included imperial rivalry, an arms race at sea, nationalism and rigid military timetables. The invasion of Poland in 1939 marked the beginning of the Second World War, a generation later."
452,33,History,At what time and on what date did the First World War end?,6am on 1 July 1916,Midnight on 31 December 1918,11am on 11 November 1918,Noon on 8 May 1918,C,"The armistice that ended the fighting on the Western Front took effect at eleven o'clock in the morning on 11 November 1918, the eleventh hour of the eleventh day of the eleventh month. This is why Remembrance Day is observed on 11 November each year, with a two-minute silence at eleven o'clock, and why Remembrance Sunday, the nearest Sunday, is marked by ceremonies at the Cenotaph in Whitehall and at war memorials in towns and villages across the country. Red poppies are worn in the preceding weeks, sold by the Royal British Legion to raise funds for veterans and their families."
453,11,History,Why are poppies worn in Britain in November?,To commemorate the Great Fire of London,To remember those who died in the world wars and later conflicts,To celebrate the Battle of Trafalgar,To mark the beginning of the harvest season,B,"Red poppies are worn in the weeks before Remembrance Day on 11 November in memory of members of the armed forces who died in the First and Second World Wars and in later conflicts. The flower was chosen because poppies grew on the battlefields of Flanders and northern France, an image made famous by the poem 'In Flanders Fields'. Poppies are sold by the Royal British Legion in an annual appeal that raises money to support serving and former service personnel and their families. Wreaths are laid at the Cenotaph in Whitehall and at memorials throughout the country on Remembrance Sunday."
454,16,History,Which battle of 1916 saw enormous British casualties on its first day?,Waterloo,El Alamein,The Somme,Trafalgar,C,"The Battle of the Somme began on 1 July 1916 and produced around sixty thousand British casualties on that single day, the heaviest loss in the history of the British Army. The offensive continued for months in appalling conditions and gained only a few miles of ground at a cost of enormous casualties on both sides. Tanks were used in battle for the first time during the campaign. The Somme has come to symbolise the futility and scale of loss of the First World War in British memory, alongside Passchendaele and Ypres, and it affected communities across the country because many units were raised from single towns."
455,34,History,What were 'pals battalions' in the First World War?,Medical teams recruited from hospitals,Units made up entirely of officers,Groups of soldiers who refused to fight,"Units raised from men of the same town, workplace or club who enlisted together",D,"Pals battalions were formed early in the First World War on the promise that men who volunteered together would serve together, and they were raised from particular towns, factories, offices, football clubs and other groups. The idea was effective in encouraging recruitment, but it had a terrible consequence: when such a battalion suffered heavy losses, as many did on the Somme, a single community could lose a large part of a generation of its young men in a single morning. The practice was abandoned as the war went on and conscription replaced voluntary enlistment from 1916. Accrington, Leeds, Sheffield and Grimsby all raised battalions of this kind in 1914."
456,43,History,What is the Cenotaph in Whitehall?,The national war memorial where wreaths are laid on Remembrance Sunday,The building where Parliament meets,A monument to Admiral Nelson,The tomb of Queen Victoria,A,"The Cenotaph is the United Kingdom's principal war memorial, standing in Whitehall in London and designed by Sir Edwin Lutyens after the First World War. Its name comes from Greek words meaning empty tomb, since it commemorates the dead who lie elsewhere, and it carries no religious imagery so that it can honour the dead of all faiths and none. The national service of remembrance is held there each year on Remembrance Sunday, attended by the monarch, political leaders and representatives of the armed forces, with wreaths laid and a two-minute silence observed at eleven o'clock. Lutyens designed war memorials and cemeteries across France and Belgium as well."
457,45,History,Which international body was created after the First World War to prevent future conflict?,NATO,The European Union,The United Nations,The League of Nations,D,"The League of Nations was established after the First World War to provide a forum for resolving disputes between states and to prevent another such catastrophe. It achieved some successes in technical and humanitarian work but proved unable to restrain aggression in the 1930s, partly because it lacked armed force and because the United States never joined. Its failure contributed to the outbreak of the Second World War. The United Nations was founded in 1945 as its successor, with Britain among the founding members and a permanent seat on the Security Council. NATO followed in 1949 as a defensive military alliance."
458,10,History,What was the General Strike of 1926 about?,Support for coal miners facing wage cuts and longer hours,A protest against food rationing,Opposition to the partition of Ireland,Demands for votes for women,A,"The General Strike of 1926 was called by the Trades Union Congress in support of coal miners whose employers were seeking to cut wages and lengthen hours in a struggling industry. Workers in transport, printing, iron and steel and other sectors stopped work for nine days, and the government organised volunteers to maintain essential services. The strike ended without achieving its aims, and the miners stayed out for months longer before being forced back on worse terms. It remains the only general strike in British history, and legislation passed afterwards restricted the circumstances in which such action could be taken."
459,25,History,What was the Great Depression of the 1930s?,A period of rapid industrial growth,A severe worldwide economic slump with mass unemployment,A famine caused by crop failure in Britain,A financial scandal involving the Bank of England,B,"The Great Depression was a global economic collapse that followed the Wall Street crash of 1929, bringing falling trade, business failures and mass unemployment. Britain's older industrial regions were hit hardest, with shipbuilding, coal, steel and textile areas in the north of England, south Wales, Scotland and Northern Ireland suffering severe joblessness, while parts of the Midlands and the south-east fared better as new industries grew. The Jarrow March of 1936, when unemployed men walked from Tyneside to London to present a petition, became a lasting symbol of the period, and the experience strongly influenced post-war commitments to full employment."
460,42,History,In which year did the Second World War begin?,1914,1941,1945,1939,D,"The Second World War began in September 1939 when Germany invaded Poland, and Britain and France, which had guaranteed Polish independence, declared war on Germany two days later. The conflict followed years in which Nazi Germany under Adolf Hitler had rearmed, occupied neighbouring territories and repudiated the settlement imposed after the First World War, while Britain and France pursued a policy of appeasement in the hope of avoiding another catastrophe. The war spread to become a global conflict involving the Soviet Union from 1941 and the United States from December of that year, and it ended in 1945. Britain and France declared war on 3 September, two days after the invasion began."
461,7,History,Who became Prime Minister of Britain in 1940 and led the country through most of the Second World War?,David Lloyd George,Clement Attlee,Neville Chamberlain,Winston Churchill,D,"Winston Churchill became Prime Minister in May 1940, at the head of a coalition government drawn from all the main parties, replacing Neville Chamberlain, whose policy of appeasement had failed and whose handling of the early campaign had lost the confidence of the House of Commons. Churchill's speeches, broadcast to the nation at moments of extreme danger, did much to sustain public morale, and his partnership with the United States proved crucial. He lost the general election of 1945 to Clement Attlee's Labour Party despite his wartime standing, and he returned as Prime Minister for a further term in the 1950s."
462,11,History,What happened at Dunkirk in 1940?,Allied forces landed to liberate France,The German air force was defeated over southern England,The British fleet defeated the German navy,Hundreds of thousands of allied troops were evacuated from France by sea,D,"In May and June 1940, after German forces broke through in France, the British Expeditionary Force and many French troops were cut off around the port of Dunkirk. A hastily organised evacuation brought more than three hundred thousand soldiers back across the Channel, using naval vessels supported by a flotilla of small civilian boats that crossed from the English coast. Enormous quantities of equipment were abandoned, and it was a severe defeat, but the rescue of the army allowed Britain to continue fighting and entered national memory as an example of improvisation and resolve, often called the Dunkirk spirit. Churchill cautioned Parliament that wars are not won by evacuations, however successful."
463,12,History,What was the Battle of Britain?,The bombing of German cities by the RAF,A naval battle in the North Sea,The air campaign in 1940 in which the RAF resisted German attempts to gain air superiority,The land defence of the south coast against invasion,C,"The Battle of Britain was fought in the air over southern England during the summer and autumn of 1940, when the German air force attempted to destroy the Royal Air Force and win the air superiority needed before any invasion could be attempted. RAF Fighter Command, flying Spitfires and Hurricanes and supported by radar and an efficient control system, inflicted losses the Germans could not sustain, and the invasion was postponed indefinitely. Pilots came from across Britain, the Commonwealth and occupied Europe, including many Poles and Czechs. Churchill's tribute, that never was so much owed by so many to so few, gave the pilots the enduring name of the Few."
464,10,History,What was the Blitz?,A German tank offensive in North Africa,The evacuation of children to the countryside,The allied invasion of Normandy,The sustained German bombing of British cities from 1940,D,"The Blitz was the prolonged bombing campaign waged by the German air force against British cities from the autumn of 1940, beginning with London, which was attacked on many consecutive nights, and extending to Coventry, Liverpool, Glasgow, Belfast, Plymouth, Hull and other ports and industrial centres. Tens of thousands of civilians were killed and vast areas of housing destroyed, and people sheltered in cellars, public shelters and underground stations. The bombing failed to break morale or halt war production. Photographs of St Paul's Cathedral standing amid the smoke became one of the defining images of British endurance during the war."
465,7,History,Where were many British children sent during the Second World War for safety?,To military barracks for training,To factories to work in war production,"To the countryside and smaller towns, away from cities likely to be bombed",To neutral countries in South America,C,"Large numbers of children were evacuated from cities expected to be bombed and were billeted with families in the countryside and in small towns, often far from home and separated from parents for long periods. The scheme began just before war was declared in 1939 and continued in waves through the conflict. Evacuation brought children from very different backgrounds into contact with one another, and the experience drew public attention to the poverty in which many urban children lived, which contributed to support for the post-war welfare reforms. Some evacuees were also sent overseas to Canada, Australia and South Africa."
466,10,History,What was rationing during the Second World War?,"A system limiting how much food, clothing and fuel each person could buy",A scheme for calling men up into the armed forces,A tax on luxury goods,A method of allocating housing to bombed-out families,A,"Rationing was introduced during the Second World War to share out scarce supplies fairly and to manage shipping losses caused by submarine attacks on convoys. Each person received a ration book with coupons limiting purchases of items such as meat, butter, sugar, tea, clothing and petrol. People were encouraged to grow their own food in gardens and allotments under the slogan 'Dig for Victory' and to avoid waste. Rationing was generally accepted as equitable and in some respects improved the national diet. It continued for years after the war ended, with the last restrictions lifted only in the middle of the 1950s."
467,8,History,What role did women play in Britain during the Second World War?,They were required to remain at home throughout,"They worked in factories, on the land and in the armed services in large numbers",They served only as nurses,They were barred from all war-related work,B,"Women took on an enormous range of work during the war, in munitions and aircraft factories, on the railways, in the Women's Land Army producing food, in civil defence and the fire service, and in the women's branches of the armed forces, where they operated radar, plotted aircraft movements, ferried planes and worked in signals and intelligence. Conscription was extended to women for war work, and many did jobs previously closed to them. The experience changed expectations about what women could do, although many were expected to give up their jobs when men returned, and legal equality in pay and employment came only decades later."
468,17,History,"On what date did allied forces land in Normandy, beginning the liberation of western Europe?",8 May 1945,3 September 1939,11 November 1918,6 June 1944,D,"The allied landings in Normandy, known as D-Day, took place on 6 June 1944 in the largest seaborne invasion ever attempted, involving thousands of ships and aircraft and troops from Britain, the United States, Canada and other allied nations. Elaborate deception operations had persuaded the German command that the attack would come elsewhere. The landings established a foothold in occupied France from which allied armies advanced through the summer, liberating Paris in August and pressing towards Germany. The war in Europe ended less than a year later, on 8 May 1945, celebrated as Victory in Europe Day. Two artificial harbours, known as Mulberries, were towed across the Channel to supply the beaches."
469,20,History,What is celebrated on VE Day?,Victory in Europe and the end of the war against Germany in May 1945,The end of the First World War,The evacuation of Dunkirk,The founding of the United Nations,A,"VE Day, Victory in Europe Day, falls on 8 May and marks the surrender of Germany in 1945, which ended the Second World War in Europe. Crowds celebrated in the streets of British towns and cities, and the royal family appeared with Winston Churchill on the balcony of Buckingham Palace. The war against Japan continued for several months, ending in August after atomic bombs were dropped on Hiroshima and Nagasaki, and that victory is marked as VJ Day on 15 August. Major anniversaries of both days are commemorated in Britain with services, parades and street parties. The two princesses, Elizabeth and Margaret, slipped out anonymously to join the London crowds."
470,1,History,What was the Holocaust?,A famine in occupied eastern Europe,The systematic murder of six million Jewish people and others by Nazi Germany,A bombing campaign against European cities,The forced relocation of German civilians after the war,B,"The Holocaust was the deliberate, organised murder of around six million Jewish people by Nazi Germany and its collaborators, carried out through mass shootings, ghettos, forced labour and extermination camps such as Auschwitz. Roma and Sinti people, disabled people, Soviet prisoners of war, political opponents, gay men and others were also persecuted and killed in enormous numbers. Britain admitted some refugees before the war, including children rescued through the Kindertransport. Holocaust Memorial Day is observed in the United Kingdom each year on 27 January, the anniversary of the liberation of Auschwitz, to remember the victims and to reflect on later genocides."
471,6,History,Which code-breaking establishment worked on German ciphers during the Second World War?,Porton Down,Bletchley Park,Greenwich Observatory,Chequers,B,"Bletchley Park in Buckinghamshire was the wartime home of Britain's code-breaking effort, where thousands of people, a majority of them women, worked in great secrecy on intercepted enemy signals. The breaking of the German Enigma cipher, building on earlier Polish work, produced intelligence known as Ultra that helped the allies in the Battle of the Atlantic and elsewhere and is generally judged to have shortened the war. Alan Turing was among the mathematicians involved, and the electronic machine Colossus, built to attack another German cipher, was an important step towards the modern computer. The work remained secret for decades afterwards."
472,16,History,Who was Alan Turing?,A mathematician who helped break German codes and pioneered computing,The designer of the Spitfire,A general who commanded at El Alamein,A pilot who led the Dambusters raid,A,"Alan Turing was a mathematician whose work at Bletchley Park helped break the German Enigma cipher, contributing significantly to the allied war effort. He had already published foundational work on computation before the war, describing the theoretical machine that bears his name, and he is regarded as one of the founders of computer science and artificial intelligence. He was prosecuted in 1952 under laws then criminalising homosexual acts and died two years later. He received a posthumous royal pardon in 2013, legislation extending pardons to others became known informally as Turing's law, and he appears on the Bank of England fifty pound note."
